timestamp,date,location,job_count
20130513011407,2013-05-13 01:14:07,East Midlands,11
20130513011407,2013-05-13 01:14:07,East of England,7
20130513011407,2013-05-13 01:14:07,Greater London,256
20130513011407,2013-05-13 01:14:07,North East England,4
20130513011407,2013-05-13 01:14:07,North West England,20
20130513011407,2013-05-13 01:14:07,Scotland,20
20130513011407,2013-05-13 01:14:07,South East England,97
20130513011407,2013-05-13 01:14:07,South West England,31
20130513011407,2013-05-13 01:14:07,Wales,2
20130513011407,2013-05-13 01:14:07,West Midlands,34
20130513011407,2013-05-13 01:14:07,Yorkshire and Humber,7
20130513011407,2013-05-13 01:14:07,Republic of Ireland,12
20130513011407,2013-05-13 01:14:07,Europe,27
20130513011407,2013-05-13 01:14:07,Africa,2
20130513011407,2013-05-13 01:14:07,Australasia,3
20130513011407,2013-05-13 01:14:07,Asia,60
20130513011407,2013-05-13 01:14:07,North America,4
20130513011407,2013-05-13 01:14:07,Caribbean,6
20130701143512,2013-07-01 14:35:12,East Midlands,7
20130701143512,2013-07-01 14:35:12,East of England,6
20130701143512,2013-07-01 14:35:12,Greater London,285
20130701143512,2013-07-01 14:35:12,North East England,2
20130701143512,2013-07-01 14:35:12,North West England,10
20130701143512,2013-07-01 14:35:12,Northern Ireland,1
20130701143512,2013-07-01 14:35:12,Scotland,24
20130701143512,2013-07-01 14:35:12,South East England,89
20130701143512,2013-07-01 14:35:12,South West England,22
20130701143512,2013-07-01 14:35:12,Wales,14
20130701143512,2013-07-01 14:35:12,West Midlands,19
20130701143512,2013-07-01 14:35:12,Yorkshire and Humber,6
20130701143512,2013-07-01 14:35:12,Republic of Ireland,20
20130701143512,2013-07-01 14:35:12,Europe,25
20130701143512,2013-07-01 14:35:12,Africa,2
20130701143512,2013-07-01 14:35:12,Asia,32
20130701143512,2013-07-01 14:35:12,North America,4
20130701143512,2013-07-01 14:35:12,Caribbean,4
20130702221354,2013-07-02 22:13:54,East Midlands,7
20130702221354,2013-07-02 22:13:54,East of England,6
20130702221354,2013-07-02 22:13:54,Greater London,293
20130702221354,2013-07-02 22:13:54,North East England,2
20130702221354,2013-07-02 22:13:54,North West England,10
20130702221354,2013-07-02 22:13:54,Northern Ireland,1
20130702221354,2013-07-02 22:13:54,Scotland,24
20130702221354,2013-07-02 22:13:54,South East England,98
20130702221354,2013-07-02 22:13:54,South West England,24
20130702221354,2013-07-02 22:13:54,Wales,15
20130702221354,2013-07-02 22:13:54,West Midlands,19
20130702221354,2013-07-02 22:13:54,Yorkshire and Humber,6
20130702221354,2013-07-02 22:13:54,Republic of Ireland,20
20130702221354,2013-07-02 22:13:54,Europe,25
20130702221354,2013-07-02 22:13:54,Africa,2
20130702221354,2013-07-02 22:13:54,Asia,38
20130702221354,2013-07-02 22:13:54,North America,4
20130702221354,2013-07-02 22:13:54,Caribbean,5
20130712221701,2013-07-12 22:17:01,East Midlands,7
20130712221701,2013-07-12 22:17:01,East of England,9
20130712221701,2013-07-12 22:17:01,Greater London,338
20130712221701,2013-07-12 22:17:01,North East England,2
20130712221701,2013-07-12 22:17:01,North West England,20
20130712221701,2013-07-12 22:17:01,Northern Ireland,1
20130712221701,2013-07-12 22:17:01,Scotland,32
20130712221701,2013-07-12 22:17:01,South East England,133
20130712221701,2013-07-12 22:17:01,South West England,44
20130712221701,2013-07-12 22:17:01,Wales,14
20130712221701,2013-07-12 22:17:01,West Midlands,32
20130712221701,2013-07-12 22:17:01,Yorkshire and Humber,6
20130712221701,2013-07-12 22:17:01,Channel Islands & Isle of Man,3
20130712221701,2013-07-12 22:17:01,Republic of Ireland,8
20130712221701,2013-07-12 22:17:01,Europe,26
20130712221701,2013-07-12 22:17:01,Asia,32
20130712221701,2013-07-12 22:17:01,North America,5
20130712221701,2013-07-12 22:17:01,Caribbean,5
20130714003325,2013-07-14 00:33:25,East Midlands,7
20130714003325,2013-07-14 00:33:25,East of England,9
20130714003325,2013-07-14 00:33:25,Greater London,332
20130714003325,2013-07-14 00:33:25,North East England,2
20130714003325,2013-07-14 00:33:25,North West England,20
20130714003325,2013-07-14 00:33:25,Northern Ireland,1
20130714003325,2013-07-14 00:33:25,Scotland,31
20130714003325,2013-07-14 00:33:25,South East England,129
20130714003325,2013-07-14 00:33:25,South West England,44
20130714003325,2013-07-14 00:33:25,Wales,14
20130714003325,2013-07-14 00:33:25,West Midlands,33
20130714003325,2013-07-14 00:33:25,Yorkshire and Humber,6
20130714003325,2013-07-14 00:33:25,Channel Islands & Isle of Man,3
20130714003325,2013-07-14 00:33:25,Republic of Ireland,7
20130714003325,2013-07-14 00:33:25,Europe,25
20130714003325,2013-07-14 00:33:25,Asia,32
20130714003325,2013-07-14 00:33:25,North America,5
20130714003325,2013-07-14 00:33:25,Caribbean,5
20130806132629,2013-08-06 13:26:29,East Midlands,5
20130806132629,2013-08-06 13:26:29,East of England,8
20130806132629,2013-08-06 13:26:29,Greater London,278
20130806132629,2013-08-06 13:26:29,North East England,2
20130806132629,2013-08-06 13:26:29,North West England,26
20130806132629,2013-08-06 13:26:29,Northern Ireland,1
20130806132629,2013-08-06 13:26:29,Scotland,18
20130806132629,2013-08-06 13:26:29,South East England,95
20130806132629,2013-08-06 13:26:29,South West England,43
20130806132629,2013-08-06 13:26:29,Wales,1
20130806132629,2013-08-06 13:26:29,West Midlands,44
20130806132629,2013-08-06 13:26:29,Yorkshire and Humber,6
20130806132629,2013-08-06 13:26:29,Channel Islands & Isle of Man,3
20130806132629,2013-08-06 13:26:29,Republic of Ireland,15
20130806132629,2013-08-06 13:26:29,Europe,34
20130806132629,2013-08-06 13:26:29,Asia,31
20130806132629,2013-08-06 13:26:29,North America,4
20130806132629,2013-08-06 13:26:29,Caribbean,2
20130912123946,2013-09-12 12:39:46,East Midlands,9
20130912123946,2013-09-12 12:39:46,East of England,8
20130912123946,2013-09-12 12:39:46,Greater London,239
20130912123946,2013-09-12 12:39:46,North East England,5
20130912123946,2013-09-12 12:39:46,North West England,26
20130912123946,2013-09-12 12:39:46,Northern Ireland,1
20130912123946,2013-09-12 12:39:46,Scotland,18
20130912123946,2013-09-12 12:39:46,South East England,102
20130912123946,2013-09-12 12:39:46,South West England,57
20130912123946,2013-09-12 12:39:46,Wales,3
20130912123946,2013-09-12 12:39:46,West Midlands,17
20130912123946,2013-09-12 12:39:46,Yorkshire and Humber,12
20130912123946,2013-09-12 12:39:46,Channel Islands & Isle of Man,5
20130912123946,2013-09-12 12:39:46,Republic of Ireland,12
20130912123946,2013-09-12 12:39:46,Europe,20
20130912123946,2013-09-12 12:39:46,Australasia,5
20130912123946,2013-09-12 12:39:46,Asia,76
20130912123946,2013-09-12 12:39:46,North America,4
20130927210457,2013-09-27 21:04:57,East Midlands,6
20130927210457,2013-09-27 21:04:57,East of England,8
20130927210457,2013-09-27 21:04:57,Greater London,247
20130927210457,2013-09-27 21:04:57,North East England,5
20130927210457,2013-09-27 21:04:57,North West England,29
20130927210457,2013-09-27 21:04:57,Northern Ireland,4
20130927210457,2013-09-27 21:04:57,Scotland,23
20130927210457,2013-09-27 21:04:57,South East England,96
20130927210457,2013-09-27 21:04:57,South West England,59
20130927210457,2013-09-27 21:04:57,Wales,2
20130927210457,2013-09-27 21:04:57,West Midlands,15
20130927210457,2013-09-27 21:04:57,Yorkshire and Humber,16
20130927210457,2013-09-27 21:04:57,Channel Islands & Isle of Man,10
20130927210457,2013-09-27 21:04:57,Republic of Ireland,12
20130927210457,2013-09-27 21:04:57,Europe,25
20130927210457,2013-09-27 21:04:57,Australasia,3
20130927210457,2013-09-27 21:04:57,Asia,81
20130927210457,2013-09-27 21:04:57,North America,4
20131112054849,2013-11-12 05:48:49,East Midlands,6
20131112054849,2013-11-12 05:48:49,East of England,4
20131112054849,2013-11-12 05:48:49,Greater London,258
20131112054849,2013-11-12 05:48:49,North East England,3
20131112054849,2013-11-12 05:48:49,North West England,17
20131112054849,2013-11-12 05:48:49,Northern Ireland,1
20131112054849,2013-11-12 05:48:49,Scotland,17
20131112054849,2013-11-12 05:48:49,South East England,95
20131112054849,2013-11-12 05:48:49,South West England,31
20131112054849,2013-11-12 05:48:49,Wales,2
20131112054849,2013-11-12 05:48:49,West Midlands,19
20131112054849,2013-11-12 05:48:49,Yorkshire and Humber,8
20131112054849,2013-11-12 05:48:49,Channel Islands & Isle of Man,2
20131112054849,2013-11-12 05:48:49,Republic of Ireland,9
20131112054849,2013-11-12 05:48:49,Europe,18
20131112054849,2013-11-12 05:48:49,Asia & Australasia,40
20131112054849,2013-11-12 05:48:49,North America,5
20131112054849,2013-11-12 05:48:49,Caribbean,3
20131123035836,2013-11-23 03:58:36,East Midlands,6
20131123035836,2013-11-23 03:58:36,East of England,8
20131123035836,2013-11-23 03:58:36,Greater London,357
20131123035836,2013-11-23 03:58:36,North East England,3
20131123035836,2013-11-23 03:58:36,North West England,18
20131123035836,2013-11-23 03:58:36,Northern Ireland,1
20131123035836,2013-11-23 03:58:36,Scotland,20
20131123035836,2013-11-23 03:58:36,South East England,103
20131123035836,2013-11-23 03:58:36,South West England,29
20131123035836,2013-11-23 03:58:36,Wales,2
20131123035836,2013-11-23 03:58:36,West Midlands,32
20131123035836,2013-11-23 03:58:36,Yorkshire and Humber,9
20131123035836,2013-11-23 03:58:36,Republic of Ireland,13
20131123035836,2013-11-23 03:58:36,Europe,26
20131123035836,2013-11-23 03:58:36,Africa,3
20131123035836,2013-11-23 03:58:36,Asia & Australasia,40
20131123035836,2013-11-23 03:58:36,North America,8
20131123035836,2013-11-23 03:58:36,Caribbean,8
20131227184741,2013-12-27 18:47:41,East Midlands,8
20131227184741,2013-12-27 18:47:41,East of England,6
20131227184741,2013-12-27 18:47:41,Greater London,213
20131227184741,2013-12-27 18:47:41,North East England,2
20131227184741,2013-12-27 18:47:41,North West England,22
20131227184741,2013-12-27 18:47:41,Scotland,21
20131227184741,2013-12-27 18:47:41,South East England,49
20131227184741,2013-12-27 18:47:41,South West England,33
20131227184741,2013-12-27 18:47:41,Wales,1
20131227184741,2013-12-27 18:47:41,West Midlands,29
20131227184741,2013-12-27 18:47:41,Yorkshire and Humber,14
20131227184741,2013-12-27 18:47:41,Channel Islands & Isle of Man,1
20131227184741,2013-12-27 18:47:41,Republic of Ireland,9
20131227184741,2013-12-27 18:47:41,Europe,33
20131227184741,2013-12-27 18:47:41,Africa,1
20131227184741,2013-12-27 18:47:41,Asia & Australasia,42
20131227184741,2013-12-27 18:47:41,North America,5
20131227184741,2013-12-27 18:47:41,Caribbean,3
20140112053143,2014-01-12 05:31:43,East Midlands,6
20140112053143,2014-01-12 05:31:43,East of England,8
20140112053143,2014-01-12 05:31:43,Greater London,242
20140112053143,2014-01-12 05:31:43,North East England,3
20140112053143,2014-01-12 05:31:43,North West England,36
20140112053143,2014-01-12 05:31:43,Scotland,23
20140112053143,2014-01-12 05:31:43,South East England,48
20140112053143,2014-01-12 05:31:43,South West England,33
20140112053143,2014-01-12 05:31:43,Wales,1
20140112053143,2014-01-12 05:31:43,West Midlands,28
20140112053143,2014-01-12 05:31:43,Yorkshire and Humber,12
20140112053143,2014-01-12 05:31:43,Channel Islands & Isle of Man,1
20140112053143,2014-01-12 05:31:43,Republic of Ireland,11
20140112053143,2014-01-12 05:31:43,Europe,42
20140112053143,2014-01-12 05:31:43,Africa,3
20140112053143,2014-01-12 05:31:43,Asia & Australasia,45
20140112053143,2014-01-12 05:31:43,North America,9
20140112053143,2014-01-12 05:31:43,Caribbean,4
20140113160854,2014-01-13 16:08:54,East Midlands,6
20140113160854,2014-01-13 16:08:54,East of England,8
20140113160854,2014-01-13 16:08:54,Greater London,236
20140113160854,2014-01-13 16:08:54,North East England,3
20140113160854,2014-01-13 16:08:54,North West England,35
20140113160854,2014-01-13 16:08:54,Scotland,22
20140113160854,2014-01-13 16:08:54,South East England,48
20140113160854,2014-01-13 16:08:54,South West England,33
20140113160854,2014-01-13 16:08:54,Wales,1
20140113160854,2014-01-13 16:08:54,West Midlands,28
20140113160854,2014-01-13 16:08:54,Yorkshire and Humber,12
20140113160854,2014-01-13 16:08:54,Channel Islands & Isle of Man,1
20140113160854,2014-01-13 16:08:54,Republic of Ireland,11
20140113160854,2014-01-13 16:08:54,Europe,41
20140113160854,2014-01-13 16:08:54,Africa,3
20140113160854,2014-01-13 16:08:54,Asia & Australasia,51
20140113160854,2014-01-13 16:08:54,North America,9
20140113160854,2014-01-13 16:08:54,Caribbean,4
20140214021001,2014-02-14 02:10:01,East Midlands,6
20140214021001,2014-02-14 02:10:01,East of England,6
20140214021001,2014-02-14 02:10:01,Greater London,239
20140214021001,2014-02-14 02:10:01,North East England,4
20140214021001,2014-02-14 02:10:01,North West England,26
20140214021001,2014-02-14 02:10:01,Scotland,20
20140214021001,2014-02-14 02:10:01,South East England,84
20140214021001,2014-02-14 02:10:01,South West England,36
20140214021001,2014-02-14 02:10:01,Wales,1
20140214021001,2014-02-14 02:10:01,West Midlands,24
20140214021001,2014-02-14 02:10:01,Yorkshire and Humber,18
20140214021001,2014-02-14 02:10:01,Republic of Ireland,6
20140214021001,2014-02-14 02:10:01,Europe,44
20140214021001,2014-02-14 02:10:01,Africa,2
20140214021001,2014-02-14 02:10:01,Asia & Australasia,56
20140214021001,2014-02-14 02:10:01,North America,7
20140315031049,2014-03-15 03:10:49,East Midlands,7
20140315031049,2014-03-15 03:10:49,East of England,5
20140315031049,2014-03-15 03:10:49,Greater London,229
