timestamp,date,permanent_jobs,interim_jobs,total_jobs
2.01105E+13,08/05/2011,,,
2.01106E+13,21/06/2011,,,
2.01107E+13,08/07/2011,,,
2.01108E+13,10/08/2011,,,
2.01109E+13,06/09/2011,,,
2.01111E+13,06/11/2011,,,
2.01201E+13,07/01/2012,,,
2.01201E+13,26/01/2012,,,
2.01201E+13,27/01/2012,,,
2.01203E+13,11/03/2012,,,
2.01204E+13,15/04/2012,,,
2.01205E+13,11/05/2012,,,
2.01206E+13,20/06/2012,,,
2.01207E+13,12/07/2012,,,
2.01208E+13,10/08/2012,,,
2.01208E+13,18/08/2012,,,
2.01209E+13,10/09/2012,,,
2.0121E+13,14/10/2012,,,
2.01211E+13,10/11/2012,,,
2.01301E+13,09/01/2013,,,
2.01301E+13,10/01/2013,,,
2.01301E+13,11/01/2013,,,
2.01302E+13,18/02/2013,,,
2.01303E+13,12/03/2013,,,
2.01305E+13,13/05/2013,,,
2.01307E+13,01/07/2013,,,
2.01307E+13,02/07/2013,,,
2.01307E+13,12/07/2013,,,
2.01307E+13,14/07/2013,,,
2.01308E+13,06/08/2013,,,
2.01309E+13,12/09/2013,,,
2.01309E+13,27/09/2013,,,
2.01311E+13,12/11/2013,,,
2.01311E+13,23/11/2013,,,
2.01312E+13,27/12/2013,,,
2.01401E+13,12/01/2014,,,
2.01401E+13,13/01/2014,,,
2.01402E+13,14/02/2014,,,
2.01403E+13,15/03/2014,,,
2.01405E+13,14/05/2014,,,
2.01407E+13,14/07/2014,,,
2.01409E+13,13/09/2014,,,
2.01409E+13,20/09/2014,,,
2.0141E+13,09/10/2014,,,
2.0141E+13,13/10/2014,,,
2.0141E+13,21/10/2014,,,
2.01411E+13,13/11/2014,,,
2.01501E+13,12/01/2015,,,
2.01502E+13,06/02/2015,,,
2.01502E+13,22/02/2015,,,
2.01503E+13,04/03/2015,,,
2.01503E+13,25/03/2015,,,
2.01504E+13,08/04/2015,,,
2.01504E+13,28/04/2015,,,
2.01506E+13,07/06/2015,,,
2.01506E+13,29/06/2015,,,
2.01507E+13,17/07/2015,,,
2.01507E+13,19/07/2015,,,
