timestamp,date,location,job_count
20151207031149,2015-12-07 03:11:49,East Midlands Region,2
20151207031149,2015-12-07 03:11:49,East of England,5
20151207031149,2015-12-07 03:11:49,London (Greater),391
20151207031149,2015-12-07 03:11:49,North East England,3
20151207031149,2015-12-07 03:11:49,North West England,35
20151207031149,2015-12-07 03:11:49,Scotland,33
20151207031149,2015-12-07 03:11:49,South East England,441
20151207031149,2015-12-07 03:11:49,South West England,87
20151207031149,2015-12-07 03:11:49,Wales,5
20151207031149,2015-12-07 03:11:49,West Midlands,24
20151207031149,2015-12-07 03:11:49,Yorkshire and the Humber,11
20151207031149,2015-12-07 03:11:49,Crown Dependencies,1
20151207031149,2015-12-07 03:11:49,Ireland,14
20151207031149,2015-12-07 03:11:49,Europe,625
20151207031149,2015-12-07 03:11:49,Africa,1
20151207031149,2015-12-07 03:11:49,Asia,27
20151207031149,2015-12-07 03:11:49,Asia Pacific,18
20151207031149,2015-12-07 03:11:49,Nationwide,7
20160202113756,2016-02-02 11:37:56,East Midlands Region,2
20160202113756,2016-02-02 11:37:56,East of England,5
20160202113756,2016-02-02 11:37:56,London (Greater),466
20160202113756,2016-02-02 11:37:56,North East England,2
20160202113756,2016-02-02 11:37:56,North West England,47
20160202113756,2016-02-02 11:37:56,Northern Ireland,1
20160202113756,2016-02-02 11:37:56,Scotland,53
20160202113756,2016-02-02 11:37:56,South East England,543
20160202113756,2016-02-02 11:37:56,South West England,102
20160202113756,2016-02-02 11:37:56,Wales,3
20160202113756,2016-02-02 11:37:56,West Midlands,40
20160202113756,2016-02-02 11:37:56,Yorkshire and the Humber,40
20160202113756,2016-02-02 11:37:56,Ireland,11
20160202113756,2016-02-02 11:37:56,Europe,778
20160202113756,2016-02-02 11:37:56,Asia,31
20160202113756,2016-02-02 11:37:56,North America,3
20160202113756,2016-02-02 11:37:56,Asia Pacific,28
20160202113756,2016-02-02 11:37:56,Nationwide,11
20160205184136,2016-02-05 18:41:36,England,723
20160205184136,2016-02-05 18:41:36,Nationwide,11
20160205184136,2016-02-05 18:41:36,Asia Pacific,34
20160205184136,2016-02-05 18:41:36,Asia,37
20160205184136,2016-02-05 18:41:36,Europe,781
20160205184136,2016-02-05 18:41:36,North America,3
20160304053501,2016-03-04 05:35:01,England,856
20160304053501,2016-03-04 05:35:01,Nationwide,13
20160304053501,2016-03-04 05:35:01,Asia Pacific,45
20160304053501,2016-03-04 05:35:01,Asia,45
20160304053501,2016-03-04 05:35:01,Europe,912
20160304053501,2016-03-04 05:35:01,North America,2
20160326221807,2016-03-26 22:18:07,England,600
20160326221807,2016-03-26 22:18:07,Nationwide,13
20160326221807,2016-03-26 22:18:07,Asia Pacific,36
20160326221807,2016-03-26 22:18:07,Asia,36
20160326221807,2016-03-26 22:18:07,Europe,657
20160326221807,2016-03-26 22:18:07,North America,4
20160404060645,2016-04-04 06:06:45,England,599
20160404060645,2016-04-04 06:06:45,Nationwide,13
